"property1","property3","property4","index","url"
"Hire a Comic","Hire a Comic","Hire a Comic","1","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"property6","property8","property9","index","url"
"","Your Name*","Your Name*","2","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"dr","Email Address*","Email Address*","3","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Company / Group Name","Company / Group Name","4","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Phone #","Phone #","5","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Extension","Extension","6","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Alternate Phone","Alternate Phone","7","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Extension","Extension","8","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","","","9","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Approx. Date of Show","Approx. Date of Show","10","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Send Email","","11","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","City *","City *","12","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Province","Province","13","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Venue","Venue","14","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Approx # Of People Attending","Approx # Of People Attending","15","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"g","Budget Range","Budget Range","16","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
"","Type of Event","Type of Event","17","https://www.yukyuks.com/index.cfm?action=aboutUs.hireacomic"
